ILL_No,Cystine,Aspartate,Glutamate,Serine,Histidine,Glycine,Threonine,Methionine,Arginine,Alanine,Valine,Phenylalanine,Isoleucine,Leucine,Lysine,Hydroxyproline,Proline,TotalAA,Cystine_to_TotalAA,Aspartate_to_TotalAA,Glutamate_to_TotalAA,Serine_to_TotalAA,Histidine_to_TotalAA,Glycine_to_TotalAA,Threonine_to_TotalAA,Methionine_to_TotalAA,Arginine_to_TotalAA,Alanine_to_TotalAA,Valine_to_TotalAA,Phenylalanine_to_TotalAA,Isoleucine_to_TotalAA,Leucine_to_TotalAA,Lysine_to_TotalAA,Hydroxyproline_to_TotalAA,Proline_to_TotalAA
Brewer,-0.00363928830581444,-0.113159339925448,-0.105135446822683,-0.0124972897436043,-0.000540655382390228,-0.0301597540946376,-0.00583363874648026,-0.00708794945886342,-0.101565708796923,-0.0176260395207587,-0.00212289931688178,0.00150622601966343,-0.00709100622736448,-0.0194472682595501,0.00518261017593802,-0.0707720698481806,-0.0832242652577841,-0.679900591767171,-0.00210941807350873,-0.0395291569890873,-0.0461701860692184,0.0546307000940803,0.00174314232076997,-0.0154559033041912,0.0348418766231455,-0.00913176852494467,-0.120367152821134,0.0247891530160602,0.00599807318554245,0.00405617348001579,0.0629828258484433,0.0919143129324783,0.00460488255381542,-0.0787882849121406,-0.0604393588881866
Control,-0.0200930957966615,-0.55764456041031,-0.417214922349526,-0.146551235958089,-0.0918971283652518,-0.108529347607497,-0.0928913579948729,-0.0173593030115535,-0.46502524872625,-0.116062769536538,-0.0232599634862937,-0.0931209618508804,-0.145632612204434,-0.277070598524994,-0.162886646092027,-0.362571596165118,-0.546956472430278,-3.98071289573701,0.0168913005873672,-0.0790067018599163,0.670793406790234,0.152194530419298,-0.00493052984002745,0.20441440629979,0.153129398835432,0.0468629053831202,-0.347025740104774,0.173925095453255,0.016060001484212,-0.00424220632841578,0.073501987055279,0.0932235891697615,-7.83470668477458e-06,-0.112044422315406,-0.746110716058944
Crimson,0.0075458410081037,-0.100016334369767,-0.0860990738262786,-0.0385653559619315,-0.00499489151024563,-0.0357175802051113,-0.0111624483640894,-0.0020482167252668,-0.086294741327029,-0.0182005523517068,-0.00354398267970753,-0.00131564435972391,-0.0134646934929011,-0.026831643246842,0.0099579193946585,-0.189037814742419,-0.0761222879001106,-0.976482860424067,0.0305226606208346,0.0205372612451698,0.143912453988328,0.00994585915025748,0.00216847594106726,-0.00233040017168157,0.0417733677880094,0.0216414729618469,0.0233899816402458,0.0461911337675675,0.00526573523679143,0.00245675999825176,0.0707101993061363,0.124872081940908,0.00530513106573613,-0.28250821958869,-0.00879684605289039
ILL1005,-0.00917163817133552,0.119588452394496,0.0721304809651579,0.0195390277726129,-0.0094309612951219,0.0268952705616701,0.00292978569572792,-0.000932839048264412,0.0351363553414456,0.0131078913794345,0.00381007323259778,-0.0155154599269232,0.0142658263879121,0.0138512234581608,0.0159860325300227,0.0612210315144842,-0.0651272242374521,0.400561165877549,-0.0262442031764761,0.0890045713633506,0.0657333648533439,0.00940109726043504,-0.00196451440644128,0.0306439905576932,-0.0180954927824801,-0.0101472464016696,0.0406491877745848,0.0015402073196853,0.0027272082301574,-0.00870552863895918,0.00331689640350598,-0.0288241336175181,0.000513588249687147,0.0506922349337817,-0.179637612818925
ILL10053,-0.00285657968717596,-0.206601359923403,-0.213128643325332,-0.0628772192586404,-0.0187823292281347,-0.0356103445290372,-0.0375369668994936,-0.0121194117042795,-0.11673705691967,-0.0504197918717892,-0.00661775180477633,-0.010810850511574,-0.052428433843381,-0.099007374997996,0.0103399424434628,-0.071871108340016,-0.12607477064035,-1.36512816643214,0.00812930530832028,-0.0509200565179742,-0.115774532247524,-0.0103464464824281,0.00168615807238496,0.0495220627186952,0.00687666829227456,-0.00732439303482853,0.0694210088674266,-0.00816353611965298,0.00500633422066495,-0.000304034777485144,0.00927166899175864,0.00624363437377759,0.0104613873650878,-0.0343223654359859,-0.0562690078838205
ILL1013,-0.000735606454520693,0.0676168361048054,0.063391789083011,0.0194571590910166,0.01468920192377,0.0178357642344438,0.011875790552504,-0.000170635673888932,0.0680298330595484,0.0212360717372271,0.00326061812211608,-0.011038197509294,0.0183484104840404,0.0244727876188964,-0.0141863466720837,0.0913180966764602,0.0710315152728931,0.572282135427007,-0.00703365848574154,-0.00620451815535126,-0.0368030305167511,-0.0132883164690477,0.000479356480204301,-0.00622868363964356,-0.0129929054676032,-0.0163019875320126,0.0417178609850138,0.00116135189707337,-0.000824784298164325,-0.00677676792563722,-0.0116219237582353,-0.0436580393365571,-0.00274111938049806,0.102156982666201,0.031198672423924
ILL10281,-0.00302018579618624,0.120097987727114,-0.119063155661972,-0.0581436951457292,-0.0392188187642058,-0.0502676763331985,-0.0344903944466195,-0.00569113837997391,0.121936930046907,-0.0416619680760356,-0.00554489260070702,-0.0476312955319746,-0.0439804341776692,-0.0904247200039153,-0.026182217750514,-0.205375029497994,-0.281679876164411,-1.28695525060849,0.0107773576934185,0.420146564052666,0.199759012718505,0.00317739256265138,0.000416208480859991,-0.00441802069272705,0.016079364667645,0.00619541654790686,0.921030399473264,0.0211972048540592,0.00705579834791037,-0.011206375944099,0.0379875570289485,0.046086281659569,0.0055674650372812,-0.387853374202219,-0.457014543071047
ILL10284,0.00806067085504804,-0.0812221656822843,0.0247850280295003,0.000433905441823419,-0.00162509686024842,0.00273345951720868,0.0053995033220849,0.00771558778330729,0.00626621939625101,0.00349483378771169,0.00141307524669459,-0.0128473080180876,0.00323209319580423,-0.00329598763134255,0.0242668037100674,-0.0903202867886825,-0.0380243830024341,-0.3886296084775,0.0249275688172351,-0.0351512248654217,0.215246591312735,0.0332212404131138,-2.21335851258603e-06,0.0361596682357023,0.0332162578686089,0.0370118667434226,0.157717850795343,0.0373181757524869,0.00725308614995975,-0.00695850825379046,0.0382167404747899,0.0551782259103257,0.00525156044689948,-0.135502514614894,-0.00641233695513279
ILL10315,0.00947497549876534,0.1390656163663,0.159981514248189,0.0592617476392271,0.0280732475242887,0.044627624229856,0.0436793081721227,0.010470398809943,0.168751074529932,0.0474323998665431,0.00828508135569786,0.0163549009430883,0.0623487603072222,0.106361689956292,0.0463210396902855,0.30776171468176,0.479685496598606,2.3009235420047,-0.00312030317388015,-0.193203167611895,-0.423966683877385,-0.0985942854278849,-0.00346731310359876,-0.0965758713750446,-0.0539635159764116,-0.0196482338059059,-0.17099017467157,-0.094867379170143,-0.0125701469932317,-0.00394067545779103,-0.0768908889299456,-0.162950816946737,-0.00417400170549664,0.326683168313389,0.606488049292294
ILL1046,0.00391774675003912,0.0928643452321192,-0.0437395506967259,0.0182777075201594,0.0635007450230302,0.0246055351467974,0.023467911489825,0.0034475260558701,0.00417237395061373,0.0192848203246916,-0.000235475446318032,0.00272520322604248,0.0197681791428774,0.0393906721822567,0.0391872332674002,0.0200815506741208,0.0605998954593704,0.485913722585481,0.00347139540152751,0.0349636826360154,-0.336261671432056,-0.0179282935544701,0.00946466817625087,0.00986099854223968,0.01434492305672,-0.00134791588454845,-0.128621800530735,0.00123763332830294,-0.00694585862992225,-3.38170383983656e-05,-0.00695750625648701,0.000546351197714666,0.00182439753055942,0.00518950819062267,0.0480253709256971
ILL10661,0.0140171430341336,-0.0890957039595788,-0.0754192236261202,-0.00940975545682651,0.0151820406455929,-0.0233159707108153,0.00496624978156758,0.00544702183243702,-0.0491819588589306,-0.00308657410341479,0.000438531727376818,0.00191448867189807,0.0125298200679558,-0.000204199279325476,-0.0378924777408827,-0.0881381121812042,0.0358220138576083,-0.395946333275288,0.0411480249583897,-0.0510049318921756,-0.0857261070029527,0.0223901619088863,0.00407242858520285,-0.024743681899981,0.0422343212800597,0.0335375362785015,-0.0375777504470218,0.0303869181338875,0.00611024879088692,0.00378901120643419,0.0749164450730679,0.0891206261833566,-0.00470908814472117,-0.128888427023661,0.150718237433108
ILL10690,0.00543117896589673,-0.0755290324513631,0.0299098270618428,0.00758737705332066,-0.00423950055564627,-0.00241748213377013,0.0040413732218997,0.0018994428806592,-0.0117797307558978,-0.00110550023228484,-0.000420283178797951,-0.00739310007188783,-0.00996709604562883,-0.0152151175198672,-0.0744839759921363,-0.117814474361183,-0.0631050604789062,-0.548938916679294,0.0206993917043504,-0.00329873099767846,0.361637933718451,0.0944602487895168,0.000940620235707176,0.0573463500908198,0.0533954686164071,0.0244145907239058,0.163787875984714,0.0630308171463906,0.00782742186179352,-0.00198528710781884,0.0385541014605602,0.0788600332718944,-0.0122299153355367,-0.194858960933789,-0.0472893895887105
ILL10810,0.00704330674340325,-0.0380409929707971,0.0314677898716526,0.0029013957236991,-0.00878321119486657,0.00299887614112659,0.0110398872800136,0.00768002089881809,0.0383681315917029,0.0102531782104878,0.00135767758578147,0.013875574315193,0.00805384758696984,0.00967522656561961,-0.0284902174544667,-0.164058645375479,-0.00801092139218167,-0.295396014987379,0.02224168310368,-0.00198618351725457,0.200456922442172,0.0471258916715132,-0.000312104685570533,0.0303759258056155,0.0472100937117349,0.0378146732383008,0.241158861777806,0.0588466208411196,0.00630525329108321,0.00801076344902264,0.0458026645444339,0.0761437938839089,-0.0029748676156065,-0.338890479760914,0.0565773145770489
ILL10825,0.0084068690150341,0.136375375733126,0.0722857149653187,0.0111657983820486,-0.00363857821829534,0.0117374942680091,0.0187050745982135,0.0105882994754708,0.111803265110632,0.0224029446133256,0.00486320881417789,0.0341370317674657,0.025603480688221,0.0472359209032683,0.0279945016520162,-0.10235213325571,0.0528724726767241,0.515009503194226,0.0125278980323913,0.0948640531695266,-0.013773131248236,-0.0298506811465659,-0.00112159378584374,-0.0244901829081998,0.00468893818662507,0.0226621141989023,0.207315143649792,0.00479066529357551,0.00218541477841685,0.0149173142205521,0.00572534336178525,0.0251452896693694,0.000803700891809977,-0.251940608716701,0.0426121281668615
