Batch,Order,Rep,Population,GH_ID,ILL_No,Cystine,Aspartate,Glutamate,Serine,Histidine,Glycine,Threonine,Methionine,Arginine,Alanine,Valine,Phenylalanine,Isoleucine,Leucine,Lysine,Hydroxyproline,Proline,TotalAA,Cystine_to_TotalAA,Aspartate_to_TotalAA,Glutamate_to_TotalAA,Serine_to_TotalAA,Histidine_to_TotalAA,Glycine_to_TotalAA,Threonine_to_TotalAA,Methionine_to_TotalAA,Arginine_to_TotalAA,Alanine_to_TotalAA,Valine_to_TotalAA,Phenylalanine_to_TotalAA,Isoleucine_to_TotalAA,Leucine_to_TotalAA,Lysine_to_TotalAA,Hydroxyproline_to_TotalAA,Proline_to_TotalAA
1,1,2,HT,H125R2,ILL10281,0.151039061,2.360169717,2.723821194,0.828697805,0.451012677,0.746908483,0.648014719,0.113555293,1.98298163,0.755900856,0.134233982,0.866171734,0.787349828,1.413009501,1.08222219,0.835529275,1.042917227,16.92353517,0.892479375,13.94607978,16.09487123,4.896718071,2.665002746,4.413430618,3.8290742,0.67099038,11.71730144,4.466565929,0.793179325,5.118148928,4.652395732,8.34937551,6.394776145,4.937084755,6.162525834
1,2,3,GM,G108R1,ILL4900,0.213268281,4.005402843,4.412499487,1.363251575,0.706852269,1.284582229,1.077986478,0.208835801,3.241090588,1.240837169,0.215333745,1.418772272,1.290277945,2.304858043,1.638154868,1.363952628,1.939928045,27.92588427,0.763693923,14.34297587,15.80075118,4.881677379,2.531172379,4.599969751,3.860169539,0.747821623,11.60604462,4.443322751,0.771090158,5.080491842,4.620365582,8.253482758,5.86608056,4.884187784,6.946702301
1,3,4,GM,G37R2,ILL4152,0.232557665,3.807952691,4.147419144,1.379334614,0.669621644,1.211427823,1.065442004,0.211083434,2.482490675,1.240719098,0.204631897,1.38473843,1.209667901,2.251110056,1.29371738,4.549940338,2.875356024,30.21721082,0.769619891,12.6019331,13.72535397,4.564731743,2.21602731,4.009065662,3.525944239,0.698553666,8.215485837,4.106001396,0.677203128,4.582614982,4.003241425,7.449761229,4.281392442,15.05744645,9.515623534
1,4,3,GM,G110R1,ILL5416,0.225274098,3.912411396,4.747913604,1.476986111,0.726368038,1.387758249,1.180242098,0.23909181,2.958821623,1.403911294,0.232295473,1.5312614,1.372857851,2.493298961,1.432978556,3.466884337,3.238699763,32.02705466,0.703386872,12.21595753,14.82469635,4.611682612,2.267982634,4.333081089,3.685140924,0.746530746,9.238506801,4.383516714,0.725310134,4.781149613,4.28655668,7.78497738,4.474275175,10.82486159,10.11238716
1,5,2,HT,H120R2,ILL8114,0.116418163,1.593893773,1.760016196,0.567146121,0.19515222,0.590354576,0.397905361,0.070738423,1.045412575,0.557352881,0.099499492,0.457813927,0.551370378,0.946294909,0.616025346,3.13082813,1.16318777,13.85941024,0.839993629,11.50044443,12.69906991,4.09213748,1.408084591,4.259593776,2.871012215,0.51039995,7.542980234,4.021476176,0.717920101,3.303271344,3.978310537,6.827815127,4.444816448,22.58990877,8.392765275
1,6,3,GM,G111R1,ILL6185,0.149221805,4.19925042,4.765722486,1.493910521,0.652940878,1.338840007,1.124782808,0.204759773,2.766004726,1.345759963,0.227488254,1.494237131,1.340922317,2.411560821,1.333151005,2.328404184,1.958993463,29.13595056,0.512156982,14.41260827,16.35684573,5.127378693,2.241014504,4.595147854,3.860463744,0.702773615,9.493442543,4.61889843,0.780781988,5.128499679,4.602294729,8.276925154,4.575622141,7.991516114,6.723629829
1,7,2,HT,H119R2,ILL8010,0.194372517,2.979221052,3.443416072,1.131755647,0.563151389,0.952878605,0.878839851,0.166001322,2.417426623,1.006383876,0.171509765,1.168530483,1.027176132,1.847155119,1.248943571,1.416505463,1.702617855,22.31588534,0.871005179,13.35022566,15.43033592,5.071524744,2.523544911,4.269956537,3.938180527,0.743870653,10.83276144,4.509719693,0.768554607,5.236316933,4.602892138,8.277310493,5.596657053,6.347520796,7.629622706
1,8,1,HT,H88R1,ILL5553,0.158658772,2.881330563,2.727057115,0.920161655,0.490038328,0.782503317,0.698676243,0.127807982,2.246373402,0.809242138,0.140769207,0.914233781,0.826985951,1.484398012,1.195538685,2.007118155,1.550575652,19.96146896,0.794825132,14.43446156,13.66160537,4.609689081,2.454921174,3.920068802,3.500124387,0.64027343,11.25354756,4.054020973,0.705204648,4.579992499,4.142911289,7.436316511,5.989231992,10.05496218,7.767843415
1,9,2,HT,H123R2,ILL9888,0.229703724,4.033668989,4.625540895,1.452623454,0.774490187,1.32498778,1.154131002,0.234141677,2.788182192,1.356392452,0.234061715,1.553289768,1.395225368,2.520374021,1.445575554,4.098584666,3.501205539,32.72217898,0.701981748,12.32701829,14.13579731,4.439262602,2.366866178,4.049203999,3.527060354,0.715544271,8.520771778,4.145177657,0.715299904,4.746901998,4.26385226,7.702341651,4.417723999,12.52540263,10.69979338
1,10,2,HT,H121R2,ILL8614,0.228309497,4.211420232,4.623690787,1.429166445,0.746230875,1.224073915,1.128139628,0.22816794,3.017980621,1.344923887,0.231651578,1.548775953,1.40307038,2.554997366,1.362111009,4.634302463,3.77813233,33.69514491,0.677573869,12.49859659,13.72212762,4.241461044,2.214654002,3.632790179,3.348077686,0.677153758,8.956722488,3.991447108,0.687492452,4.596436541,4.164013492,7.582686981,4.042454819,13.75362081,11.21269055
1,11,1,HT,H80R1,ILL5416,0.227029126,4.66325794,4.227474675,1.366265014,0.708689369,1.290107375,1.102688904,0.23061003,2.854945797,1.315194835,0.226045789,1.448985735,1.288391435,2.365050267,1.361390914,4.153934149,2.722450088,31.55251144,0.71952791,14.77935583,13.39821929,4.330130793,2.246063266,4.088762878,3.494773803,0.73087694,9.04823631,4.168273063,0.7164114,4.592299214,4.083324516,7.495600695,4.314683212,13.16514584,8.628315033
1,12,1,HT,H118R1,ILL8007,0.221933607,3.713131917,4.00794549,1.274329024,0.641774816,1.20467559,1.020453084,0.200616702,2.882120103,1.205399266,0.206385449,1.341360265,1.197609185,2.173609724,1.24364285,3.686266904,2.643029944,28.86428392,0.768886585,12.86410544,13.88548388,4.414899145,2.223421921,4.173585575,3.535348692,0.695034398,9.985073979,4.176092743,0.71502016,4.647128156,4.149104091,7.530447421,4.308587227,12.77103189,9.156748705
1,13,2,HT,H83R2,ILL5505,0.23173026,4.45363941,4.511264348,1.403324852,0.690917766,1.335998583,1.117988898,0.232031808,2.851140085,1.366442246,0.228331245,1.466693951,1.30755079,2.374251108,1.429511525,4.517191961,3.120732633,32.63874147,0.70998528,13.64525472,13.82180852,4.299567903,2.116863993,4.093290742,3.425343159,0.710909176,8.735447375,4.186565365,0.69957123,4.493720913,4.006131153,7.274334123,4.379799774,13.8399698,9.561436785
1,14,2,HT,H118R2,ILL8007,0.201278277,3.494237662,4.214827667,1.307731566,0.600043206,1.188046839,0.979591929,0.183200857,2.670106911,1.228202592,0.206988447,1.312418702,1.195988403,2.169401323,1.222414642,3.996808398,2.931259024,29.10254645,0.691617407,12.0066389,14.48267654,4.493529693,2.061823721,4.082277959,3.366000741,0.629501124,9.174822265,4.220258163,0.711238267,4.50963528,4.109566169,7.45433506,4.200370041,13.73353499,10.07217368
1,15,4,GM,G112R2,ILL623,0.187150994,3.399934999,3.986584796,1.283996611,0.623144864,1.124202575,1.002272577,0.174767757,2.408130359,1.163132262,0.200312991,1.342408753,1.195370149,2.169430378,1.293375618,1.515392186,1.890673176,24.96028105,0.749795219,13.62138108,15.97171438,5.144159269,2.496545864,4.503966013,4.015469919,0.70018345,9.647849536,4.659932554,0.802526985,5.378179639,4.789089301,8.691530252,5.181734996,6.071214436,7.574727114
1,16,1,HT,H124R1,ILL10053,0.189532923,2.715374594,3.143671048,1.012599935,0.569539567,1.004855345,0.812958786,0.149716379,2.171212653,0.936048919,0.171312078,1.042843553,0.96533024,1.730359934,1.350517372,2.271286886,1.820740111,22.05790032,0.859251879,12.31021337,14.25190522,4.590645166,2.582020767,4.555534889,3.685567412,0.678742658,9.843242653,4.243599369,0.776647258,4.727755306,4.376346914,7.844626681,6.122601663,10.2969315,8.254367299
1,17,3,GM,G106R1,ILL4774,0.246816887,4.48076984,4.469715073,1.396353737,0.793691033,1.36826357,1.180158906,0.244847664,2.872332773,1.389319731,0.232838433,1.513024087,1.348166885,2.467862048,1.416972286,4.066377586,2.882192161,32.3697027,0.762493525,13.84248067,13.80832909,4.313767568,2.451956511,4.226988375,3.645875024,0.756409987,8.873522255,4.292037353,0.719309767,4.67419828,4.164903513,7.623987378,4.377464628,12.56229513,8.903980947
1,18,1,HT,H128R1,ILL10661,0.275955279,3.448564442,3.685574918,1.217199093,0.667956696,1.08350714,0.989745346,0.200213193,2.576646764,1.138757656,0.198578491,1.31429475,1.199238535,2.12117036,1.199007839,2.829936547,2.633664744,26.78001179,1.030452418,12.87738209,13.76240962,4.545177584,2.494236004,4.045954678,3.69583611,0.747621751,9.621529609,4.252267194,0.741517564,4.907745225,4.478110556,7.920722277,4.477249108,10.56734616,9.834442062
