Batch,GH-ID,ILL_No,Lab ID,Rep,Population,Digestibility
1,G10R1,ILL490,1,3,GM,0.869949132
1,H37R2,ILL1097,2,2,HT,0.869557461
1,H128R1,ILL10661,3,1,HT,0.868899013
1,H54R1,ILL4152,4,1,HT,0.875200753
1,G42R2,ILL4738,5,4,GM,0.884521673
1,H149R2,ILL34110,6,2,HT,0.885817617
1,H121R1,ILL8614,7,1,HT,0.873408486
1,H85R1,ILL5519,8,1,HT,0.873829748
1,G54R1,ILL5384,9,3,GM,0.873338295
1,H56R2,ILL3485,10,2,HT,0.875304299
1,H118R1,ILL8007,11,1,HT,0.884553788
1,H81R1,ILL5418,12,1,HT,0.864619011
1,G16R1,ILL702,13,3,GM,0.870735284
1,H83R1,ILL5505,14,1,HT,0.872888227
1,G5R1,ILL257,15,3,GM,0.882251009
1,H43R1,ILL1947,16,1,HT,0.885874896
1,H16R1,ILL494,17,1,HT,0.874720548
1,H1R1,ILL71,19,1,HT,0.875575817
1,H127R1,ILL10315,20,1,HT,0.884415007
1,H87R2,ILL5537,21,2,HT,0.879373776
1,H45R1,ILL1959,22,1,HT,0.871762419
1,G46R2,ILL4857,23,4,GM,0.870386113
1,G15R1,ILL624,24,3,GM,0.873322215
1,G17R2,ILL705,25,4,GM,0.875872411
1,H42R1,ILL1861,26,1,HT,0.884630352
1,H55R1,ILL4164,27,1,HT,0.874290404
1,H62R1,ILL4774,28,1,HT,0.878787845
1,G113R2,ILL4781,29,4,GM,0.869966132
1,G21R1,ILL890,30,3,GM,0.885719328
1,G91R2,ILL6126,31,4,GM,0.886491331
1,G81R2,ILL7495,32,4,GM,0.875072433
1,H123R1,ILL9888,33,1,HT,0.883323439
1,H32R2,ILL918,34,2,HT,0.879454847
1,H8R1,ILL257,35,1,HT,0.883542534
1,G69R1,ILL6493,36,3,GM,0.894207234
1,G13R2,ILL556,37,4,GM,0.87101762
1,H79R2,ILL5384,38,2,HT,0.875303046
1,G69R2,ILL6493,39,4,GM,0.88163786
1,H40R1,ILL1671,40,1,HT,0.872012189
1,H1R2,ILL71,41,2,HT,0.874054724
2,G100R2,ILL1706,42,4,GM,0.873205554
2,H123R2,ILL9888,43,2,HT,0.877850685
2,H82R1,ILL5424,44,1,HT,0.871597563
2,G115R1,ILL129,45,3,GM,0.877868946
2,G77R2,ILL7084,46,4,GM,0.909834293
2,G121R1,ILL2150,47,3,GM,0.873010116
2,H64R2,ILL4791,48,2,HT,0.872684514
2,G18R1,ILL719,49,3,GM,0.872826761
2,H21R2,ILL595,50,2,HT,0.872923881
2,H72R2,ILL4900,51,2,HT,0.888044964
2,MerritR1,Merrit,52,1,HT,0.867558389
2,G1R1,ILL82,53,3,GM,0.870393914
2,G62R2,ILL5639,54,4,GM,0.865526304
2,G61R1,ILL5626,55,3,GM,0.863225473
2,H138R2,ILL10947,56,2,HT,0.86625879
2,H77R2,ILL5151,57,2,HT,0.88022601
2,G80R2,ILL7437,58,4,GM,0.874158814
2,G80R1,ILL7437,59,3,GM,0.870174228
2,G61R2,ILL5626,60,4,GM,0.868855849
2,G126R2,ILL6545,61,4,GM,0.873196463
2,H88R2,ILL5553,62,2,HT,0.872294354
2,G124R2,ILL5519,63,4,GM,0.865383853
2,G19R2,ILL769,64,4,GM,0.866975092
2,G50R2,ILL4926,65,4,GM,0.874512242
2,H43R2,ILL1947,66,2,HT,0.868887435
2,H95R1,ILL6126,67,1,HT,0.870715567
2,G106R1,ILL4774,68,3,GM,0.87072576
2,H34R1,ILL950,69,1,HT,0.87690759
2,H131R1,ILL10825,70,1,HT,0.889363531
2,H116R2,ILL7981,71,2,HT,0.872285639
2,H110R1,ILL7012,72,1,HT,0.869252652
2,G22R1,ILL918,73,3,GM,0.876086655
2,H108R1,ILL6925,75,1,HT,0.877145805
2,H78R2,ILL5261,77,2,HT,0.877617761
2,H53R1,ILL4345,78,1,HT,0.876298186
2,G91R1,ILL6126,79,3,GM,0.876878537
2,H53R2,ILL4345,80,2,HT,0.897219202
